순번,업체명,선정년도,지방청,주소,전화번호,팩스번호,업종,기업규모,주생산품목,연구분야
233,(주)아도스,2020,서울,서울특별시 송파구 송파대로,070-8812-1026,02-796-1026,정보처리,중소기업,,
234,(주)아르비젼,2018,서울,서울특별시 금천구 가산디지털1로,02-853-1095,02-853-1098,전자,중소기업,,
235,(주)아몽소프트웨어,2021,서울,서울특별시 강남구 언주로,021-661-7494,050-4027-1426,정보처리,중소기업,,
236,(주)아우라네트웍 ,2021,서울,서울특별시 서초구 서초중앙로,02-6484-6202,02-6484-6299,정보처리,중소기업,,
237,(주)아우름플래닛,2021,서울,서울특별시 마포구 홍익로,070-4110-1555,02-000-0000,정보처리,중소기업,,
238,(주)아이뱅크,2019,서울,서울특별시 금천구 가산디지털1로,0226240859,0226240441,정보처리,중소기업,,
239,(주)아이스크림에듀,2019,서울,서울특별시 강남구 테헤란로88길,02-3440-7242,02-3440-7196,정보처리,중견기업,,
240,(주)아이엠씨게임즈,2006,서울,서울특별시 강남구 테헤란로77길,025549140,025549132,게임S/W,벤처기업,게임소프트웨어제작업,
241,(주)아이엠에스나노텍,2016,서울,서울특별시 구로구 디지털로29길,022-109-5030,022-109-5033,기계,중소기업,,
242,(주)아이오트러스트,2019,서울,서울특별시 강남구 선릉로,02-6959-3559,02-6959-3564,정보처리,중소기업,,
243,(주)아이지에이웍스,2013,서울,서울특별시 마포구 양화로,02-6970-2903,02-2132-5129,정보처리,중소기업,,
244,(주)아이커머,2020,서울,서울특별시 영등포구 경인로,024663700,024663760,정보처리,중소기업,,
245,(주)아이퀘스트,2014,서울,서울특별시 구로구 디지털로34길,02-2025-4630,02-2025-4645,정보처리,중소기업,,
246,(주)아이투맥스,2022,서울,서울특별시 마포구 마포대로,023652187,023652093,정보처리,중소기업,,
247,(주)아이티노매즈,2021,서울,서울특별시 구로구 디지털로,02-2038-7586,02-2038-7590,정보처리,중소기업,,
248,(주)아이티스노우볼,2021,서울,서울특별시 금천구 벚꽃로,010-3075-8777,0504-387-1875,게임S/W,중소기업,,
249,(주)아이티엘,2018,서울,서울특별시 서초구 바우뫼로,02-3463-9724,02-3463-2200,정보처리,중소기업,,
250,(주)아이펙,2021,서울,서울특별시 금천구 범안로9길,0220375844,028650079,민영방산,중소기업,,
251,(주)아이포트폴리오,2020,서울,서울특별시 중구 남대문로9길,05053338288,05053338288,정보처리,중소기업,,
252,(주)아임클라우드,2019,서울,서울특별시 영등포구 양산로,02-6472-0410,0264820410,정보처리,중소기업,,
253,(주)아침소프트,2018,서울,서울특별시 구로구 디지털로34길,02-863-3198,02-863-3199,정보처리,중소기업,,
254,(주)아카에이아이,2015,서울,서울특별시 중구 청계천로,025377201,025377202,정보처리,중소기업,,
255,(주)아쿠아픽,2020,서울,서울특별시 금천구 가산디지털1로,02-1588-2809,02-6116-2800,전기,중소기업,,
256,(주)아키드로우,2019,서울,서울특별시 서초구 매헌로,02-2155-1125,02-6250-8126,정보처리,중소기업,,
257,(주)알고리마,2020,서울,서울특별시 강남구 영동대로,070-4353-7176,070-7500-7962,정보처리,중소기업,,
258,(주)알로하팩토리,2021,서울,서울특별시 강남구 역삼로7길,010-7278-9337,02-6951-5745,게임S/W,중소기업,,
259,(주)알에프메디컬,2021,서울,서울특별시 금천구 벚꽃로,070-4163-9072,022-108-4201,의료의약,중소기업,,
260,(주)알엔알,2020,서울,서울특별시 성동구 뚝섬로17가길,070-4230-8676,0234460059,전자,중소기업,,
261,(주)알엠소프트,2018,서울,서울특별시 금천구 가산디지털1로,02-859-0884,02-6499-0883,정보처리,중소기업,,
262,(주)알지비솔루션,2021,서울,서울특별시 금천구 가산디지털1로,07044893342,024590327,정보처리,중소기업,,
263,(주)알티웍스,2020,서울,서울특별시 서초구 방배로31길,025222437,025222457,정보처리,중소기업,,
264,(주)알파투쎄븐쓰리,2021,서울,서울특별시 중구 퇴계로,02-501-2339,0504-398-8185,정보처리,중소기업,,
265,(주)애드오피,2020,서울,서울특별시 강남구 테헤란로,02-2052-6256,02-508-4599,정보처리,중소기업,,
266,(주)애드캡슐소프트,2019,서울,서울특별시 서초구 동광로12길,02-544-0902,07082306290,정보처리,중소기업,,
267,(주)액시스소프트,2021,서울,서울특별시 강남구 논현로102길,027173450,027173451,정보처리,중소기업,,
268,(주)앱닥터,2021,서울,서울특별시 마포구 마포대로,02-6490-1770,,정보처리,중소기업,,
269,(주)어반디지털마케팅,2019,서울,서울특별시 금천구 가산디지털1로,026-925-5180,050-5855-2228,정보처리,중소기업,,
270,(주)어빌리티시스템즈,2017,서울,서울특별시 송파구 송파대로,070-7835-6300,024025478,정보처리,중소기업,,
271,(주)어썸피스,2012,서울,서울특별시 관악구 남부순환로,02-2039-8084,028862010,게임S/W,중소기업,,
272,(주)언더핀,2020,서울,서울특별시 영등포구 의사당대로,070-7537-2017,05044342802,정보처리,중소기업,,
273,(주)언일전자,2020,서울,서울특별시 중랑구 신내로23길,0267129315,029481625,전기,중소기업,,
274,(주)에너닷,2020,서울,서울특별시 서초구 남부순환로350길,02-584-9602,02-584-9604,정보처리,중소기업,,
275,(주)에너자이,2020,서울,서울특별시 강남구 테헤란로,02-883-1231,0303-3440-1231,정보처리,중소기업,,
276,(주)에너지파트너즈,2019,서울,서울특별시 영등포구 경인로,02-957-8888,02-957-8892,전기,중소기업,엘리베이터및컨베이어장치제조업,
277,(주)에니텍시스,2000,서울,서울특별시 금천구 디지털로9길,02-2027-1900,02-2027-1919,전자,중소기업,해당사항없음,
278,(주)에듀토셀,2020,서울,서울특별시 성북구 안암로,02-923-0505,02-923-7070,정보처리,중소기업,,
279,(주)에스더블유몰드텍,2009,서울,서울특별시 금천구 벚꽃로,02-830-0453,0000000000,기계,벤처기업,,
280,(주)에스알포스트,2020,서울,서울특별시 구로구 디지털로,028455218,0221798921,정보처리,중소기업,,
281,(주)에스엠인포메이션,2022,서울,서울특별시 성동구 아차산로17길,0234868323,07078608833,정보처리,중소기업,,
282,(주)에스이든,2019,서울,서울특별시 금천구 가산디지털1로,02-6116-6788,02-6116-6789,정보처리,중소기업,,
283,(주)에스제이링크,2018,서울,서울특별시 마포구 월드컵북로,02-6101-8400,02-6101-8409,정보처리,중소기업,,
284,(주)에스티,2020,서울,서울특별시 영등포구 선유로,070-5222-6888,070-5222-6888,정보처리,중소기업,,
285,(주)에어스메디컬,2019,서울,서울특별시 강남구 테헤란로,070-7777-3186,02-6280-3185,정보처리,중소기업,,
286,(주)에어큐브,2019,서울,서울특별시 강서구 양천로,02-3663-3181,02-6968-5622,정보처리,중소기업,컴퓨터시스템설계및자문업,
287,(주)에오스와이텍,2020,서울,서울특별시 송파구 법원로11길,024599155,050-8090-1255,정보처리,중소기업,,
288,(주)에이럭스,2020,서울,서울특별시 마포구 매봉산로,0236658956,0236658957,정보처리,중소기업,,
289,(주)에이블리코퍼레이션,2017,서울,서울특별시 서초구 강남대로,070-4779-8264,070-4779-8267,정보처리,중소기업,,
290,(주)에이블스토어,2016,서울,서울특별시 영등포구 영신로,02-456-7667,02-456-7262,정보처리,중소기업,,
291,(주)에이블짐정보,2020,서울,서울특별시 송파구 바람드리길,02-2138-1880,022-138-1889,정보처리,중소기업,,
292,(주)에이스프로젝트,2015,서울,서울특별시 중구 한강대로,02-6325-3213,02-6325-3216,게임S/W,중소기업,,
293,(주)에이아이스페라,2021,서울,서울특별시 성동구 연무장5가길,02-6419-1088,070-4755-7000,정보처리,중견기업,,
294,(주)에이아이트릭스,2019,서울,서울특별시 서초구 효령로77길,02-569-5507,02-569-5508,정보처리,중소기업,,
295,(주)에이앤티랩스,2021,서울,서울특별시 성북구 서경로,029407354,05070837283,정보처리,중소기업,,
296,(주)에이엠피올,2015,서울,서울특별시 금천구 가산디지털2로,02--858--2839,02--858--2442,의료의약,중소기업,,
297,(주)에이제이월드,2018,서울,서울특별시 강서구 마곡중앙14로,025552433,025632433,통신기기,중소기업,,
298,(주)에이젠글로벌,2020,서울,서울특별시 영등포구 은행로,070-7008-0020,0504-229-9165,정보처리,중소기업,,
299,(주)에이티비스,2019,서울,서울특별시 금천구 가산동 ,070-4821-4888,070-4821-4898,통신기기,중소기업,,
300,(주)에임드,2020,서울,서울특별시 서초구 서초대로38길,070-4027-2095,070-4850-8934,정보처리,중소기업,,
301,(주)에잇퍼센트,2018,서울,서울특별시 영등포구 국제금융로2길,02-722-8828,026-442-2288,정보처리,중소기업,,
302,(주)에코센스,2020,서울,서울특별시 금천구 가산디지털1로,02-2088-1111,02-850-3102,전자,중소기업,,
303,(주)에코아이티,2020,서울,서울특별시 강남구 강남대로146길,0263428021,028648021,정보처리,중소기업,,
304,(주)에프원시큐리티,2017,서울,서울특별시 금천구 벚꽃로,070-4640-3031,02-6944-8448,정보처리,중소기업,,
305,(주)엑셈,2021,서울,서울특별시 강서구 양천로,0262036300,0262036301,정보처리,중소기업,,
306,(주)엑소코바이오,2019,서울,서울특별시 금천구 가산디지털1로,02-2138-2967,02-2038-3916,의료의약,중소기업,,
307,(주)엑스오비스,2018,서울,서울특별시 강남구 테헤란로38길,0221569100,025188831,정보처리,중소기업,,
308,(주)엑스트라이버,2019,서울,서울특별시 강남구 테헤란로,070-5089-4093,070-8290-0200,정보처리,중소기업,정보처리및기타컴퓨터운영관련업,
309,(주)엔라이즈,2021,서울,서울특별시 서초구 서초대로77길,010-2242-8791,026-203-0551,정보처리,중소기업,,
310,(주)엔버랩스,2019,서울,서울특별시 마포구 월드컵북로,070-5099-9400,02--335--7781,정보처리,중소기업,,
311,(주)엔씨지글로벌,2018,서울,서울특별시 금천구 디지털로9길,02-866-3255,070-7500-8954,정보처리,중소기업,,
312,(주)엔에스티정보통신,2019,서울,서울특별시 금천구 가산디지털2로,02-857-3900,02-856-5005,통신기기,중소기업,,
313,(주)엔젤스윙,2019,서울,서울특별시 서초구 강남대로,070-4035-3759,02-2179-8176,정보처리,중소기업,,
314,(주)엔티시스,2016,서울,서울특별시 금천구 디지털로9길,070-4035-1410,070-8224-1409,정보처리,중소기업,,
315,(주)엔피코어,2021,서울,서울특별시 영등포구 양평로21길,02-1544-5317,024135317,정보처리,중소기업,,
316,(주)엘레파츠,2014,서울,서울특별시 금천구 서부샛길,070-7865-8250,02-861-8749,전자,중소기업,,
317,(주)엘렉시,2021,서울,서울특별시 송파구 송파대로,070-7733-5679,02--401--5674,정보처리,중소기업,,
318,(주)엘리스 서울강남2지점,2019,서울,서울특별시 강남구 선릉로,070-4633-2015,050383790214,정보처리,중소기업,,
319,(주)엘앤디시스템,2021,서울,서울특별시 영등포구 선유로,07077325250,030309404599,정보처리,중소기업,컴퓨터및소프트웨어소매업,
320,(주)엘앰캐드,2021,서울,서울특별시 강남구 도산대로28길,02-6091-6400,0504-435-3112,정보처리,중소기업,,
321,(주)엘엠프렌즈,2020,서울,서울특별시 광진구 아차산로,070-4452-4731,02-456-4730,정보처리,중소기업,,
322,(주)엘트정보기술,2016,서울,서울특별시 금천구 가산디지털1로,02-2678-9171,0504-181-1614,통신기기,중소기업,,
323,(주)엘핀,2020,서울,서울특별시 강서구 마곡중앙8로,02-6959-7414,050-4394-7616,정보처리,중소기업,,
324,(주)엠그램,2017,서울,서울특별시 영등포구 여의대방로69길,02-780-7808,02-780-7909,정보처리,중소기업,,
325,(주)엠시스텍,2019,서울,서울특별시 영등포구 양산로,022-002-8733,027-935-7935,정보처리,중소기업,,
326,(주)엠에이치메디,2019,서울,서울특별시 구로구 디지털로27길,02-2107-8988,02-844-4572,의료의약,중소기업,,
327,(주)엠엘소프트,2016,서울,서울특별시 영등포구 양평로21가길,025013221,025015420,정보처리,중소기업,,
328,(주)엠큐브테크놀로지,2018,서울,서울특별시 강서구 마곡중앙12로,070-7006-9239,023-421-7076,의료의약,중소기업,그외기타의료용기기제조업,
329,(주)엠텔레텍,2019,서울,서울특별시 금천구 가산디지털1로,02-6281-6282,02-6281-6285,정보처리,중소기업,,
330,(주)엠투다이아몬드,2021,서울,서울특별시 종로구 율곡로,02-763-9801,02-763-9802,생활용품,중소기업,귀금속장신구및관련제품제조업,
331,(주)여기어때컴퍼니,2021,서울,서울특별시 강남구 봉은사로,02-2088-8034,02-6930-4132,정보처리,중소기업,,
332,(주)영인바이오텍,2018,서울,서울특별시 양천구 남부순환로,02-3663-8329,02-2699-8328,전자,중소기업,,
333,(주)예거,2020,서울,서울특별시 도봉구 우이천로39길,029067776,029994473,정보처리,중소기업,,
334,(주)옐로에그,2021,서울,서울특별시 구로구 디지털로29길,07040154560,07040154561,게임S/W,중소기업,,
335,(주)오너클랜,2015,서울,서울특별시 서초구 강남대로99길,070-4603-5431,02-851-3414,정보처리,중소기업,,
336,(주)오스테오닉,2015,서울,서울특별시 구로구 디지털로29길,026-902-8400,026-902-8401,의료의약,중소기업,,
337,(주)오스테오시스,2015,서울,서울특별시 구로구 디지털로26길,02-6124-5905,02-6124-5958,기계,중소기업,,
338,(주)오케이토마토,2022,서울,서울특별시 영등포구 선유로,0226972399,0226971845,정보처리,중소기업,,
339,(주)오토스광학,1999,서울,서울특별시 금천구 두산로11길,02--700--8005,02--861--2133,기계,중소기업,해당사항없음,
340,(주)오픈소프트랩,2021,서울,서울특별시 금천구 가산디지털1로,026-941-0501,026-941-0502,정보처리,중소기업,,
341,(주)오픈오브젝트,2019,서울,서울특별시 구로구 디지털로,02-2057-0883,02-2057-0885,정보처리,중소기업,,
342,(주)오피지지,2020,서울,서울특별시 강남구 테헤란로,010-8349-7688,024559904,정보처리,중소기업,,
343,(주)온앤온정보시스템,2021,서울,서울특별시 강동구 천호대로,02-478-8360,02-478-8366,정보처리,중소기업,,
344,(주)온피아,2018,서울,서울특별시 구로구 디지털로33길,07042622800,0263302077,정보처리,중소기업,,
345,(주)올리브스톤,2021,서울,서울특별시 강남구 강남대로,070-7801-1107,026-414-1173,정보처리,중소기업,,
346,(주)올림플래닛,2021,서울,서울특별시 강남구 테헤란로,02-511-5110,02-6499-2183,정보처리,중소기업,,
347,(주)옴니씨앤에스,2020,서울,서울특별시 구로구 디지털로,070-7605-6184,02-6949-0069,정보처리,중소기업,,
348,(주)와우소프트,2019,서울,서울특별시 구로구 디지털로33길,02-2108-1599,02-2108-1598,정보처리,중소기업,,
349,(주)와이오엘오,2022,서울,서울특별시 마포구 월드컵로10길,0220382391,0220382392,정보처리,중소기업,,
350,(주)왓챠,2018,서울,서울특별시 서초구 강남대로,070-7554-9696,02-3478-2202,정보처리,중소기업,,
351,(주)우성자동문,1998,서울,서울특별시 성동구 성수이로,02-2205-1010,02-2205-1020,기계,중소기업,해당사항없음,
352,(주)우아한형제들,2013,서울,서울특별시 송파구 위례성대로,070-4352-3235,050-6050-0402,정보처리,대기업,,
353,(주)원우이엔지,2019,서울,서울특별시 강서구 마곡중앙6로,02-3665-3200,02-3665-3210,통신기기,중소기업,,
354,(주)원티드랩,2021,서울,서울특별시 송파구 올림픽로,0221387124,0260087083,정보처리,중소기업,,
355,(주)원프랜트,2014,서울,서울특별시 서초구 서초중앙로24길,070-7791-9025,02-533-7052,국내건설,중소기업,,
356,(주)웨이브코퍼레이션,2021,서울,서울특별시 강남구 테헤란로2길,070-8065-5471,025-242-2552,정보처리,중소기업,,
357,(주)웹티즌,1999,서울,서울특별시 강남구 테헤란로,060-300-2254,050-4985-2400,정보처리,중소기업,해당사항없음,
358,(주)위시켓,2016,서울,서울특별시 강남구 테헤란로,02-6925-5690,070-5057-4420,정보처리,중소기업,,
359,(주)위우너스,2018,서울,서울특별시 송파구 중대로,070-4616-3297,02-2142-3297,정보처리,중소기업,,
360,(주)위즈더플래닝,2018,서울,서울특별시 금천구 가산디지털2로,02-1670-0704,02-6003-1909,정보처리,중소기업,,
361,(주)위즈코리아,2016,서울,서울특별시 강서구 양천로,02-786-7217,02-7867218,정보처리,중소기업,,
362,(주)윈어텍,2016,서울,서울특별시 구로구 디지털로27길,02-2107-2977,02-2107-2955,통신기기,중소기업,,
363,(주)윙크스톤파트너스,2021,서울,서울특별시 영등포구 의사당대로,070-5221-3443,070-4324-7771,정보처리,중소기업,,
364,(주)유니메딕스,2012,서울,서울특별시 구로구 디지털로30길,028906460,031-380-0318,의료의약,중소기업,,
365,(주)유니온콘텐츠,2021,서울,서울특별시 금천구 가산디지털2로,07077001555,0221799596,정보처리,중소기업,연구및개발업,
366,(주)유니와이드,2017,서울,서울특별시 구로구 디지털로26길,070-7306-0500,028660037,전자,중소기업,,
367,(주)유라클,2020,서울,서울특별시 강남구 봉은사로108길,0234794426,0234794405,정보처리,중소기업,,
368,(주)유비온,2021,서울,서울특별시 구로구 디지털로34길,02-2023-8787,02-6020-8591,정보처리,중소기업,,
369,(주)유아이네트웍스,2021,서울,서울특별시 중구 세종대로,02-586-0461,02-6008-6311,정보처리,중소기업,,
370,(주)유커넥,2019,서울,서울특별시 강남구 테헤란로,02-423-8302,0507-596-0766,정보처리,중소기업,,
371,(주)유프리즘,2016,서울,서울특별시 구로구 디지털로26길,070-4077-0100,023850614,정보처리,중소기업,,
372,(주)유플러스시스템,2020,서울,서울특별시 금천구 가산디지털1로,02-855-5545,02-855-5546,정보처리,중소기업,,
373,(주)이노티브아이엔씨,2019,서울,서울특별시 금천구 디지털로9길,070-7124-8930,050-7351-2043,정보처리,중소기업,,
374,(주)이루다컴,2019,서울,서울특별시 금천구 가산디지털1로,02-2622-8168,02-2622-8169,정보처리,중소기업,,
375,(주)이맥스,2021,서울,서울특별시 영등포구 경인로,07086808990,0260083165,정보처리,중소기업,,
376,(주)이스트림,2020,서울,서울특별시 금천구 가산디지털2로,02-780-9466,0264993337,정보처리,중소기업,,
377,(주)이스트소프트,1995,서울,서울특별시 서초구 반포대로,070-8850-8309,02-583-4628,정보처리,중소기업,해당사항없음,
378,(주)이스트시큐리티,2007,서울,서울특별시 서초구 반포대로,070-8850-8305,02-583-4628,정보처리,벤처기업,,
379,(주)이십일세기소프트,2018,서울,서울특별시 영등포구 선유로,02-2629-7709,02-2629-7799,정보처리,중소기업,,
380,(주)이안,2020,서울,서울특별시 강남구 봉은사로,025712344,0262808983,정보처리,중소기업,,
381,(주)이오닉스,2014,서울,서울특별시 금천구 가산디지털1로,070-7835-7600,02-2225-0099,전자,중소기업,,
382,(주)이음시스템즈,2020,서울,서울특별시 영등포구 가산디지털1로,026-925-7371,026-455-5756,정보처리,중소기업,,
383,(주)이제이엔,2021,서울,서울특별시 강남구 테헤란로,02-1600-8340,02-6455-8349,정보처리,중소기업,,
384,(주)이젬코,2019,서울,서울특별시 성동구 성수이로,022-038-2472,026-974-1172,정보처리,중소기업,,
385,(주)이지식스,2017,서울,서울특별시 강남구 봉은사로26길,010-4472-3727,02-6280-2603,정보처리,중소기업,,
386,(주)이지위드,2020,서울,서울특별시 강남구 논현로133길,025165930,025185931,정보처리,중소기업,,
387,(주)이프커뮤니티,2020,서울,서울특별시 성동구 아차산로17길,02-548-1955,02-517-1956,정보처리,중소기업,,
388,(주)이호스트아이씨티,2021,서울,서울특별시 금천구 가산디지털2로,07076005524,0264992262,정보처리,중소기업,,
389,(주)인덴트코퍼레이션,2022,서울,서울특별시 성동구 뚝섬로17가길,025363474,025363474,정보처리,중소기업,,
390,(주)인젠트,2019,서울,서울특별시 영등포구 국제금융로2길,02-6312-3305,027873699,정보처리,중소기업,,
391,(주)인지소프트,2019,서울,서울특별시 강남구 테헤란로,02-571-9571,02-3454-1700,정보처리,중소기업,,
392,(주)인컴솔루션,2021,서울,서울특별시 금천구 디지털로9길,027453820,027453821,정보처리,중소기업,,
393,(주)인코어드테크놀로지스,2022,서울,서울특별시 강남구 봉은사로,0234435800,0234435883,정보처리,중소기업,,
394,(주)인텔리시스,2021,서울,서울특별시 관악구 관악로,02-6959-8676,0505-055-8676,정보처리,중소기업,,
395,(주)인포마이닝,2020,서울,서울특별시 영등포구 도신로15라길,070-4914-2969,02-845-6327,정보처리,중소기업,,
396,(주)인포바인,2016,서울,서울특별시 영등포구 여의대로,023-775-3366,027181610,정보처리,중소기업,,
397,(주)인포웍스,2018,서울,서울특별시 금천구 가산디지털1로,02-569-3346,02-569-3346,정보처리,중소기업,,
398,(주)임픽스,2019,서울,서울특별시 동대문구 천호대로,027458324,027458327,정보처리,중소기업,,
399,(주)자버,2022,서울,서울특별시 마포구 마포대로,0264020509,0262802072,정보처리,중소기업,,
400,(주)자비스앤빌런즈,2017,서울,서울특별시 강남구 테헤란로,02-555-4344,026-442-8447,정보처리,중소기업,,
401,(주)자이닉스,2000,서울,서울특별시 구로구 디지털로31길,02-865-8801,02-865-8803,정보처리,중소기업,해당사항없음,
402,(주)재미,2020,서울,서울특별시 금천구 가산디지털1로,02-867-7662,070-8677-7662,정보처리,중소기업,,
403,(주)재성에프에이,2018,서울,서울특별시 금천구 가산디지털1로,02-2038-9170,02-2038-9970,전기,중소기업,,
404,(주)저스트큐,2021,서울,서울특별시 송파구 오금로15길,010-3130-4674,05040094674,정보처리,중소기업,,
405,(주)정원씨앤에스,2015,서울,서울특별시 강서구 마곡중앙12로,023-423-2119,023-423-2190,통신기기,중소기업,,
406,(주)제네시스랩,2021,서울,서울특별시 중구 명동길,02-6402-0118,02-6956-1449,정보처리,중소기업,,
407,(주)제노임펙트,2020,서울,서울특별시 성동구 아차산로17길,02-3444-0201,02-3444-1332,정보처리,중소기업,,
408,(주)제론소프트엔,2020,서울,서울특별시 중구 퇴계로36길,070-7764-0100,05073319153,정보처리,중소기업,,
409,(주)제스아이앤씨,2018,서울,서울특별시 구로구 디지털로,027828450,027838451,정보처리,중소기업,,
410,(주)제우스이엔지,2017,서울,서울특별시 구로구 부일로1나길,02-894-1979,02-895-1979,기계,중소기업,,
411,(주)제이니스,2018,서울,서울특별시 성동구 성수일로,022-202-0700,022-205-0725,정보처리,중소기업,,
412,(주)제이메디컬인터,2021,서울,서울특별시 금천구 벚꽃로24길,02-578-7728,,화학,중소기업,의료용품및기타의약관련제품제조업,
413,(주)제이엘케이,2021,서울,서울특별시 강남구 테헤란로33길,010-9397-3236,505-300-4051,정보처리,중소기업,,
414,(주)제이케이테크,1999,서울,서울특별시 구로구 디지털로31길,02-865-2700,02-866-2285,통신기기,중소기업,해당사항없음,
415,(주)제이티하네스,2018,서울,서울특별시 구로구 구로중앙로32길,0263266901,0263266902,전기,중소기업,,
416,(주)제일메디칼코퍼레이션,2007,서울,서울특별시 구로구 디지털로34길,02-850-3531,02-850-3895,의료의약,벤처기업,그외기타의료용기기제조업,
417,(주)제임스텍,1998,서울,서울특별시 금천구 시흥대로,02--806--7543,02--806--0075,전자,중소기업,해당사항없음,
418,(주)젬코쥬얼리,2012,서울,서울특별시 강북구 한천로109길,02-981-7400,02-989-5216,생활용품,중소기업,,
419,(주)조은아이앤에스,2016,서울,서울특별시 영등포구 선유로,02-2122-7517,050-7351-9500,정보처리,중소기업,,
420,(주)주어링,2016,서울,서울특별시 종로구 돈화문로6나길,070-7836-2812,02-765-6837,생활용품,중소기업,,
421,(주)준쥬얼리,2015,서울,서울특별시 금천구 가산디지털1로,02-2026-0426,02-2026-0420,생활용품,중소기업,,
422,(주)즐거운,2020,서울,서울특별시 강남구 언주로,025420077,07082999933,정보처리,중소기업,,
423,(주)지경솔루텍,2021,서울,서울특별시 금천구 가산디지털1로,02-6956-2131,02-6956-2132,정보처리,중소기업,,
424,(주)지에스아이엘,2018,서울,서울특별시 서초구 청계산로,070-7574-1728,026-937-0046,정보처리,중소기업,,
425,(주)지엔에이컴퍼니,2022,서울,서울특별시 서초구 방배로27길,0109571821,025958110,정보처리,중소기업,,
426,(주)지이씨일렉트로닉스,2016,서울,서울특별시 구로구 경인로53길,070-4803-7774,022-679-7673,전자,중소기업,,
427,(주)지인시스템,2018,서울,서울특별시 송파구 송파대로,02-586-1037,02-586-1039,정보처리,중소기업,,
428,(주)지테크시스템,2014,서울,서울특별시 금천구 가산디지털2로,02-859-0255,02-859-0254,통신기기,중소기업,,
429,(주)지후소프트,2020,서울,서울특별시 영등포구 경인로,02-2038-8064,02-2038-8065,정보처리,중소기업,,
430,(주)직랩,2020,서울,서울특별시 강남구 언주로,010-8846-7938,025480658,정보처리,중소기업,,
431,(주)진코퍼레이션,2000,서울,서울특별시 금천구 가산디지털1로,02-850-0259,02-850-0399,통신기기,중소기업,정보처리및기타컴퓨터운영관련업,
432,(주)짐싸,2020,서울,서울특별시 강남구 테헤란로,010-5813-2498,0218332427,정보처리,중소기업,,
433,(주)차미마케팅,2021,서울,서울특별시 금천구 가산디지털2로,0264641264,0264641265,정보처리,중소기업,,
434,(주)참슬테크,2013,서울,서울특별시 영등포구 양평로,02-716-1996,02-716-1997,통신기기,중소기업,,
435,(주)천명소프트,2017,서울,서울특별시 서초구 바우뫼로,023-463-3052,023-463-3062,정보처리,중소기업,,
436,(주)청명씨앤아이,2018,서울,서울특별시 강서구 양천로,02-6951-0159,02-3663-6226,통신기기,중소기업,,
437,(주)카스모아이티,1997,서울,서울특별시 구로구 디지털로,02--837--1600,02--837--9222,전자,중소기업,해당사항없음,
438,(주)카펜스트리트,2020,서울,서울특별시 강남구 언주로93길,028781201,020-000-0000,정보처리,중소기업,,
439,(주)칵테일미디어,2020,서울,서울특별시 구로구 디지털로,07075000397,07075000402,애니메이션,중소기업,,
440,(주)캐스트윈,2021,서울,서울특별시 강서구 마곡중앙8로1길,026-005-9000,023-661-8334,통신기기,중소기업,,
441,(주)캐스트이즈,2018,서울,서울특별시 관악구 남부순환로,02-886-6765,02-886-6763,정보처리,중소기업,,
442,(주)커널랩스,2020,서울,서울특별시 성동구 성수일로,010-2232-4426,02-3407-5446,정보처리,중소기업,,
443,(주)커먼컴퓨터,2020,서울,서울특별시 서초구 매헌로8길,01099694961,05043656770,정보처리,중소기업,,
444,(주)컬처메이커스 ,2016,서울,서울특별시 강남구 삼성로95길,02-2247-7900,02-2247-7001,정보처리,중소기업,,
445,(주)컴아트시스템,2011,서울,서울특별시 금천구 가산디지털2로,070-7122-2303,02-6305-5671,통신기기,중소기업,,
446,(주)컴투스홀딩스,2021,서울,서울특별시 금천구 가산디지털1로,070-5068-3626,02-874-6729,게임S/W,중견기업,,
447,(주)컴트루테크놀로지,1997,서울,서울특별시 마포구 성암로,02-396-7005,02-396-7780,정보처리,중소기업,해당사항없음,
448,(주)케이오비에이,2014,서울,서울특별시 구로구 부일로1나길,02-2105-5633,02-3397-7810,기계,중소기업,,
449,(주)케이지제로인,2021,서울,서울특별시 중구 통일로,02-769-9987,02-769-9989,정보처리,중소기업,,
450,(주)케이티앤씨,2000,서울,서울특별시 강서구 양천로11길,02-3662-0118,02-3662-0116,통신기기,중소기업,통신기기및방송장비제조업,
451,(주)코너스,2021,서울,서울특별시 성동구 상원1길,02-518-1047,02-518-1037,정보처리,중소기업,정보처리및기타컴퓨터운영관련업,
452,(주)코드스테이츠,2018,서울,서울특별시 서초구 서초대로,070-4735-3320,02-6964-7155,정보처리,벤처기업,,
453,(주)코드엠,2018,서울,서울특별시 금천구 서부샛길,02-0865-3995,02-6280-3995,정보처리,중소기업,,
454,(주)코라이즈테크놀로지,2011,서울,서울특별시 영등포구 여의대방로65길,02-6093-5577,02-6093-5573,정보처리,중소기업,,
455,(주)코레이즈홀딩스,2020,서울,서울특별시 성동구 연무장5길,02-1833-5805,02-6930-5605,정보처리,중소기업,,
456,(주)코리아퍼스텍,2018,서울,서울특별시 강서구 화곡로,028380300,028380302,정보처리,중소기업,,
457,(주)코비젼,2015,서울,서울특별시 강서구 마곡중앙8로7길,02-6965-3100,070-7589-3200,정보처리,중소기업,,
458,(주)코아맥스테크놀로지,2020,서울,서울특별시 금천구 가산디지털1로,026-672-4350,026-672-4380,정보처리,중소기업,,
